model,mae_mean,mae_std,rmse_mean,r2_mean,best_params
HistGB,27.957293451831458,7.628626653308987,45.44706322853146,0.870835464580556,"{""hgb__l2_regularization"": 0.068706142826133, ""hgb__learning_rate"": 0.049374393769437024, ""hgb__max_iter"": 459, ""hgb__max_leaf_nodes"": 38}"
PolyLinear,29.21339436194598,7.337766949208636,43.72335789388941,0.879863128213849,"{""prep__num__poly__degree"": 2, ""ridge__alpha"": 0.01}"
RandomForest,29.727803699119853,9.249886744017363,48.31116783313425,0.8569139646609939,"{""rf__max_depth"": 20, ""rf__max_features"": 0.5, ""rf__min_samples_leaf"": 5, ""rf__n_estimators"": 357}"
DecisionTree,33.77030371061672,6.169861281943072,55.58595267574329,0.8238845913822666,"{""tree__max_depth"": 12, ""tree__max_features"": 1.0, ""tree__min_samples_leaf"": 5}"
RidgeLog,45.533178990975244,16.886264549975653,76.20468824235238,0.6559340021517809,"{""regressor__prep__num__poly__degree"": 2, ""regressor__ridge__alpha"": 100.0}"
Poisson,46.49178547964487,15.354018779055176,73.4864699722846,0.7191396776561125,"{""glm__alpha"": 1.0}"
Tweedie,52.23968032848744,20.923541128930722,88.11603627958075,0.5939251087768541,"{""glm__alpha"": 0.1}"
