model,mae_mean,mae_std,rmse_mean,r2_mean,best_params
HistGB,8.660750083588235,2.2473496890905444,14.266232285031055,0.9024057477171364,"{""hgb__l2_regularization"": 0.24810409748678125, ""hgb__learning_rate"": 0.030515616964102342, ""hgb__max_iter"": 314, ""hgb__max_leaf_nodes"": 25}"
RandomForest,8.886636567179545,2.099024462420088,14.555551714407017,0.8972044778146924,"{""rf__max_depth"": 20, ""rf__max_features"": 0.5, ""rf__min_samples_leaf"": 5, ""rf__n_estimators"": 357}"
PolyLinear,9.686700933395695,2.0913777730469607,14.512277179637612,0.8965951452752904,"{""prep__num__poly__degree"": 1, ""ridge__alpha"": 1.0}"
DecisionTree,10.206125936856703,2.241991704401035,16.57644499609274,0.8633082883956609,"{""tree__max_depth"": 8, ""tree__max_features"": 1.0, ""tree__min_samples_leaf"": 20}"
RidgeLog,16.504397933582663,6.88625902900422,36.034351500874905,0.2857734687752368,"{""regressor__prep__num__poly__degree"": 2, ""regressor__ridge__alpha"": 10.0}"
Poisson,25.3352641922507,23.50477602855082,55.65626842322863,-1.8163560010368336,"{""glm__alpha"": 1.0}"
Tweedie,33.36167274947969,33.168581563330086,79.65233784644833,-4.639626127413772,"{""glm__alpha"": 0.1}"
